text,text_length,x,y
Book a reservation for me and my step sister in Nebraska in two seconds,71,5.7192945,2.9311647
Book the Coon Chicken Inn in Baker City for 4 people.,53,4.8309894,3.014933
"book a restaurant in French Southern Territories on dec. the fifth, 2026 for two",80,4.733729,3.3207288
Book me a reservation for 10 in Oman,36,5.8190403,3.026036
Book a restaurant for nine in South Sudan.,42,4.9337873,3.326445
Book reservations at a restaurant in Iron Springs,49,5.729884,3.0561733
"Please make me reservations somewhere for eight people in Foley, NV",67,5.8689203,2.3471699
table for 5 AM. at Baker's Keyboard Lounge,42,4.709791,2.370776
I want to eat mezes at the pub for 1 at four PM,47,5.14014,2.1139915
I'm looking for a table of eight at The Alley.,46,4.4295697,2.2246757
I need a table for five in Viroqua,34,4.5661025,2.0967016
Book a russian restaurant for 4 people.,39,4.8893595,3.6033726
Book a bakery that serves souvlaki for tomorrow.,48,4.5449533,2.8582034
Find me a table at a javanese brasserie,39,3.4934542,2.4883254
We want to eat at a brasserie with sicilian food in Nebraska,60,4.935245,1.7152364
book a table for now for 4 for an oyster bar,44,4.262676,2.7735667
I need a table for 2 on feb. 18 at Main Deli Steak House,56,4.55768,2.1411006
I'd like to get 4 seats at a restaurant.,40,5.393455,2.4049711
Asiate restaurant in Sturgeon for 7,35,5.161777,2.0812316
restaurant in Zambia that is close for a party of 10,52,5.4915123,2.2675028
 restaurant that is brasserie for  8 and has wifi,49,5.049725,2.2660184
I want eat at the best spanish restaurant in the Georgia area that is within walking distance for me and my nephew at noon,122,4.6562653,2.3434482
book rosalie stewart and evelyn at a restaurant,47,4.1539135,3.0017092
book a table for 0 pm in Fayette for rachael morris and shannon near there,74,3.4329352,2.9748418
I need a table for one,22,4.531449,2.065156
"book a spot for nona gray, myrtle and alison at a top-rated brasserie that is distant from Wilson Av on Nov. the 4th, 2030 that serves ouzeri",141,3.2511475,3.0339413
Book the Ballylickey House for 7/16/2027.,41,3.223777,2.883015
book an outdoor place for 11/1/2033 in town within walking distance of a brasserie for nine,91,3.0938966,3.241619
I need a reservation for a restaurant that serves cupcakes in OH,64,5.926726,2.372707
I'd like a table for 3 at a tavern in the Vatican,49,4.7730827,2.464046
I want a table for 5 next fall om Curacao,41,4.535573,2.0522506
book a table at a restaurant for 10/24/2028 for me and lauren,61,4.4209046,2.9868681
need a table at Uncommon Grounds Coffeehouse at eleven for nine,63,4.0533323,2.3207438
I need a reservation for The French Laundry in OH for six,57,5.91817,2.729488
I'd like a table for two at a brasserie in Sao Tome and Principe,64,3.4779234,2.5301898
Reservea  table for five people on september second in Gabon.,61,4.661127,2.2798176
Book reservations at a nearby restaurant in Montenegro for four people,70,5.506438,3.1608617
Book me a reservation for The Brazen Head in Hecker,51,5.7702055,3.0504653
book a molecular gastronomy serving restaurant on march the 20th,64,4.3191433,2.7949076
Book a spot for seven at a japanese joint in Grandview Heights,62,3.2477453,3.3925042
Book me a tibetan restaurant for my boss and I.,47,4.3602233,3.0471337
book a bar close by with a smoking room in MA,45,4.4611015,2.646095
Can you make reservations for 1 person in IL,44,5.728849,2.4093158
Book the Dunbrody Country House Hotel in NE for 8 people.,57,3.8346808,3.0406365
Find a table for one at a popular churrascaria for three weeks from now,71,4.4040174,2.3370144
"Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby",120,5.908531,2.2737083
"I'd like a table for natasha, bettye and kimberley at a coffeehouse with a smoking room",87,4.0765924,2.3758738
"book tortano serving brasserie for me, isabella and carly in Kuwait",67,3.272299,2.9902864
Book me a table for 2 in 6 years  at a restaurant that serves potee,67,4.531993,3.3119652
Make a reservation far away at The Spotted Pig in SD.,53,5.7720137,2.5742505
I want to go to an outdoor cafe in Pioneer Day,46,4.7693386,2.0811927
I want to book a table for me and my boss at Glassy Junction in Turkey.,71,3.7963798,2.9977362
I need to book a pub in Cammack Village Wyoming for a party of seven,68,4.031997,2.9205928
"Book something for darlene, tessa and maxine at a restaurant for 09:58:27",73,3.7557225,2.9414065
Make me a reservation at taverna in a smoking room,50,5.6909847,2.4882782
casey and I will be in Kentucky for food ,41,5.018075,1.9126045
book a spot for 1 at a bakery with crab cake not far from New Jersey,68,4.6660085,2.8362153
Book a table for 7 at a popular bistro distant from Kremmling,61,3.776263,2.8685987
Book a table for 5 at a pub during my Macedonia trip that serves czech food.,76,4.5618005,2.9339693
Book me seating at a popular joint for Sep. the 10th,52,3.2740889,3.1647117
I'd like a table for six at the bakery in AS,44,4.695365,2.2612436
Book a restaurant in town not far from here for me and my mother in law.,72,4.474146,2.8092315
I need reservations for a party of 8 within the same area at 01:48:35 at a restaurant in Armenia that serves tuscan cuisine.,124,5.5352373,2.2451065
book some indonesian food truck food that is not far for a party of 8 in IA,75,5.816828,3.755165
"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024.",83,5.8696632,2.441724
"I need a table at Light Horse Tavern in City of the Dalles NH for kathleen, brianna and I",89,4.1760116,2.4097738
I need seats for five at a place five and a half months from now,64,5.257113,2.5311236
Book a pub for eight people in the Pitcairn Islands.,52,3.934917,3.374418
I need a table for a party of 2 at Co-operative Block Building in Old Glory,75,4.218905,2.1502109
I want Jean-Georges for a party of 2,36,4.609525,1.964065
Reserve me seating midday at Bear Hotel,39,4.804152,2.2359552
Book a restaurant near the City of Wakefield for 5 people.,58,4.529554,3.078326
Book a table for two in Oklahoma,32,3.6321094,3.3043952
book me a restaurant in Guadeloupe,34,4.5859404,3.4136024
Find me a table for 8 people at a nearby AL restaurant one minute from now.,75,4.674102,2.1984317
"book in West Palm Beach for glenda, lois and tamra at a nearby restaurant serving puglia",88,4.06802,2.826023
I need a table at a restaurant in Ireland serving kouglof,57,4.949677,2.2163587
"Find me a bar in Eagle Pass, Vermont that serves noodle dishes, that will take reservations for 2/21/2021.",106,5.3152103,2.2920246
"Book a table for ida, monica and etta at Cold Spring Tavern in MD",65,3.794757,3.186648
Book reservations at a highly rated bar on 11/23/2031,53,5.5856256,3.059932
book a stuffed ham serving pizzeria in Independence Corner,58,3.8478866,3.0462816
book a brasserie with parking for 1,35,3.0506523,3.1975095
I want to book a table at a nearby restaurant in Andorra for me and my kids.,76,4.2058263,2.791186
I really need a top-rated restaurant that can seat 3 people in 1 minute from now.,81,5.299692,2.2733133
Book a churrascaria restaurant that serves spring rolls for one person.,71,4.520185,3.271371
Book reservations at a restaurant for me and my ex husband in West Virginia,75,5.3718705,2.7990026
Make me a reservation for a party of 2,38,6.047964,2.3413339
book a diner for 1 in Green Isle,32,4.6827927,3.5565455
book fast food that is highly rated,35,4.8225226,2.7994869
me and katharine would like to go eat at Jan. 22nd in IA,56,4.8593545,1.7699251
book Main Deli Steak House on february 13 in Serbia and Montenegro,66,4.321544,2.4211128
I want tables for 6 at a kosher steakhouse around Kosovo,56,4.9460793,2.1811035
I need to book a restaurant that serves sundanese in Bonaire for 7,66,4.6137385,3.0623353
Book a taverna that serves bengali for six at five,50,3.9642358,3.5755467
I'm looking to book a table at a gastropub that serves vegetarian for me and my team,84,3.8610072,2.591554
Please book me a table at a food court faraway from Saint Kitts and Nevis.,74,4.5414095,2.6154568
I want to book a table at The Commons Restaurant in South Pekin New Hampshire for a party of 10 on january the 24th,115,4.090212,2.803077
Book a restaurant in Bouchon for 1,34,4.836335,3.481121
book a restaurant for 5,23,4.9457,3.6670616
book a spot at a crab restaurant,32,4.8082876,3.156332
Book a reservation at a restaurant nearby their airbnb,54,5.9081974,2.989326
Book a reservation for Louisiana Fried Chicken this winter in Taiwan,68,5.696938,3.0213087
book a restaurant in HI,23,4.813905,3.5511785
I want to book a bar in Bonaparte Palau.,40,3.8037016,3.1715994
Can you make reservations at a tea house that serves fettucine?,63,5.7056246,2.2323759
I want to book Meriton Grand Hotel Tallinn in New Jersey for four people.,73,3.5006037,3.1527886
I want a table for eight in Yakima Rhode Island,47,4.019799,2.6190732
Book a reservation for a restaurant serving wontons for ten people in Leopold,77,5.690266,3.0387366
book at Tavern on the Green for in 1 minute in CO,49,4.058954,3.4020479
Book a reservation for a party of four within the same area of Districts of Sweden,82,5.7509747,2.912077
I need to reserve a table for me and my mom at the nearest restaurant in the state of MH.,89,4.7858815,2.1379313
set an reservation for a party of eight at the bar on 8/8/2039,62,6.1202326,2.3681276
Book me a table for two in Oakes.,33,3.6203187,3.3343844
I need to book a table for 6 people at Montreal Pool Room in Croatia.,69,4.2492733,2.9554324
"Reserve a table in Top of the Mark Lambertville, Vermont.",57,4.2916245,2.442697
"I'm going to Herkimer and want some liver and onions and I need a table for bessie, antonia and lisa at a cafe around 10 AM",123,4.202853,2.0603797
book a restaurant for november 19,33,4.7354736,3.4748068
Reserve a table at a restaurant with wifi in France,51,4.9110317,2.1571584
Can you make reservations for two people somewhere distant from Sutphin Blvd,76,5.720327,2.517577
"I need a table at somewhere within walking distance of NV on november the 24th, 2027",84,4.3496356,2.569262
I need to book a tropezienne restaurant six hours from now,58,4.6391263,3.2998924
I need a table in your position at churrascaria for a hot dog in the same area,78,4.472426,2.1604738
Book a table at Crown Candy Kitchen for lacy and I,50,3.8128147,2.8600566
Book at table at a brasserie which serves padangnese food.,58,3.3899214,2.811842
I need to book a table for five at the Crooked House of Windsor.,64,3.5805163,3.1707797
make a reservation for 9 at a brasserie with parking,52,6.065406,2.371044
book a table today at a steakhouse for eight that serves sashimi,64,4.1792703,2.5592933
I need a table at a cafe that serves baeckeoffe,47,4.676076,2.1054027
"Book a reservation for 1 at PM Park, Clear Lake, Iowa in Mongolia in 1 hour",75,5.6399007,3.0119119
Book a restaurant in CA for my parents and I on oct. the seventeenth,68,4.3413434,3.0458972
Book a table for a party of twelve in Lewisville AMerican Samoa for a party of 7 at the Ballachulish House,106,4.073084,2.4885554
I need a table in Iron Gates in one minute  at the Weathervane Restaurant,73,5.165078,2.2040062
I need a table booking for a highly rated sardinian pub.,56,4.946757,2.3929195
Book a restaurant in seven in Fort McKinley,43,4.7234387,3.4512892
Book a table for three at a restaurant in Louisiana,51,4.6776133,3.4815083
I'd like a table for 3 at an outdoor restaurant,47,4.855292,2.0395458
Book a popular restaurant for two which is distant from Avalon.,63,4.365064,3.3795316
"book Guenther House for 6 on Oct. 24, 2035 in Waddy",51,3.3241427,2.9508078
Find a table for 2 at a restaurant in Saint Vincent and the Grenadines,70,4.6453013,2.2468588
book cornelia and bettie a table at a brasserie restaurant in Colombia,70,4.5585704,2.967149
book a spot for my colleague and I at a pizzeria with a pool in Owings Mills Wisconsin,86,4.1759906,2.988112
I'd like to eat english cuisine at a restaurant in Ettrick,58,5.170169,1.8962102
reserve a table for two at the restaurant at 9 pm,49,4.8940096,2.164749
book for my girlfriend and I for truffade at a gastropub in West Virginia,73,3.393566,2.5144348
I need a table for six pm for me and my step daughter at Cafe Rouge,67,4.588665,2.1694257
Book a restaurant for 7 people.,31,4.9143486,3.66145
Book a table for nine people in NJ.,35,3.6195996,3.4311283
"In Apr., I'd like to eat at a pub Manack Montana with 4 people",62,5.121232,1.9118719
Book a tavern in Rhode Island that serves saucisse.,51,4.4132304,3.0843635
On 10/14/2026 I have two people to eat at Coney Island Hot Dog Stand,68,4.790176,2.0973349
I want to book a restaurant for nine with wifi,46,4.704606,3.5091054
I want to book a close restaurant in SC for seven,49,4.6968493,3.5430691
I need a reservation for four at a restaurant,45,6.1824756,2.436634
I need a reservation for four minutes from now for 3 people in the Falkland Islands,83,6.03658,2.3353465
Book a restaurant in Delhi Arkansas for three people.,53,4.961512,3.6010346
I need a dinner reservation in three months for a restaurant in Hills and Dales.,80,5.8656497,2.3985202
Find a table at a bar for milagros and I in Mount Pocono,56,4.2541695,2.253232
"Book something for my girlfriend and I at a food truck that has pizzas in Brookwood on October fifteenth, 2020",110,5.3859024,3.428727
"renee sanders, marlene and jewel want to go to a gastropub in the spa",69,3.5304868,2.393789
Make me a reservation at a delicatessen that serves tofy for a party of four in AZ,82,5.9669704,2.322911
"Need a table within the same area as Beach 105th St for a party of 6
",69,4.526205,1.9790931
"on April the twenty-seventh, 2022, I'd like to make reservations at a spanish diner.",84,5.529268,2.3134596
book a spot in Netherlands Antilles,35,3.4054124,3.4595234
book a food truck for greek food for 7,38,5.834001,3.7926834
"me and terrie need a table at a bar in Hypoluxo, UT",51,4.487375,2.1545599
I want to find parking next to a restaurant for 10,50,5.288709,2.521847
I need to book a table for three at a restaurant in South Sudan ,64,4.736864,3.178634
I need a reservation for a brasserie place for a party of two,61,5.949657,2.276971
Book a table at a cuban pub for 5 pm for a party of 7 in Virginia.,66,4.1597457,3.2174375
I'd like to visit a pizzeria with a pool at fourteen o'clock.,61,4.575639,2.4012206
I want to book a restaurant for eight in Harding.,49,4.5880203,3.3250458
book four people at a Madagascar bar,36,4.341608,3.604592
Make a reservation for 8 at a diner that serves haystack,56,5.8671,2.3570247
I'd like to eat within the same area of Lawrence St for a party of one,70,4.839472,1.8683388
table for 4 in Sparks,21,4.1311507,2.1410182
book in Vermont at The Maisonette,33,3.869771,2.8787456
Where is Chips in Crouch,24,4.5843506,2.4952772
reserve a smoking room at the restaurant,40,4.90798,2.31972
Book a table for four around midnight in Saint Pierre and Miquelon.,67,3.7067447,2.9257302
Book the Great House at Sonning distant from Gun Hill Rd.,57,3.328016,3.2419603
I need to book the best food court in within the same area as OK that serves persian food for my ex husband and I,113,4.6250863,2.6121511
Book a restaurant in one minute for five people in Canal Fulton.,64,4.909778,3.614156
I want to book seats for 2 at churrascaria using the internet,61,4.2135525,3.1335135
book a joint for Feb. the seventh in Oklahoma within walking distance for six that is highly rated,98,3.2388453,3.3299727
Make a reservation for 7 people at a gastropub on Isle of Man.,62,5.7949495,2.645587
Book a brasserie for me and my team at four am,46,3.044295,3.256296
Book reservations at a tea house with esperanza and tommie now,62,3.6786573,2.8229363
book a bar in San Marino for five,33,4.0813556,2.9154096
I need a table in West Virginia for me and my baby at Jacob Wirth Restaurant,76,4.46894,2.3234036
"Reserve a table for nine people at a caribbean restaurant in White Creek, Utah.",79,4.8901677,2.3103526
book a restaurant for five in karnataka,39,4.960477,3.694898
in a week  make a reservation for a table of 7 in District Of Columbia,70,5.8900976,2.4055066
book me a restaurant,20,4.7014127,3.5369298
I want to book a table for a party of 4 at a taverna next spring.,65,3.8379674,3.0270238
need a table at a highly rated restaurant within walking distance from downtown for luisa and I,95,4.678073,2.3866863
book a southeastern brazilian cusinie pub,41,4.080856,3.5051732
Book the Atomic Cafe for ten people.,36,4.8356133,3.5681982
Book a restaurant in FL in the city of Lochearn for my step son and I,69,4.2086606,2.8996658
"Book a pub for two on jan. first, 2037.",39,4.159368,3.3682792
restaurant named The Palm in Tennyson MI,40,4.9454665,2.4964504
I need a table for four at ten PM. in Dodge Park,48,4.4279633,2.1868289
Book me a table at the highly rated cafeteria in Federated States Of Micronesia,79,4.969978,2.6697974
Book a table at the Montreal Pool Room in North Carolina for 7 AM,65,4.1875935,3.0741751
Book something at a highly rated and distant cafe in Kazakhstan for two on April 21,83,4.0723734,3.1120222
I'd like to book a restaurant that serves pochouse in Rocksprings.,66,4.480352,3.02928
Please make reservations for me and my roommate somewhere in Bouvet Island,74,5.7590423,2.4353724
Book me a table at a romanian brasserie in Rixford,50,3.1760554,2.9985378
book me a bar that has chicken fried bacon in Vermont,53,5.0988994,2.7739677
"I need to book a table at a bar in Micronesia for tia, madeline and estela",74,3.8609087,2.9527695
Please make reservations in Yeager for seven am at a highly rated indian brasserie,82,5.943704,2.3131452
me and my father in law want go eat gratin at a restaurant,58,4.5504436,2.3187528
book a manadonese restaurant for two,36,4.789977,3.6008
book a table for 3 in Macao,27,4.0300655,3.282292
"I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.",82,4.5756564,2.0432978
book a spot at a tsipouro restaurant in Connecticut,51,4.7328734,3.2971513
Book a reservation for 9 people at a roman pizzeria,51,5.7575293,3.0514197
I'd like to eat at a popular brasserie in Chile with a party of 5,65,4.9087124,1.7886229
I need a reservation for Little Grill Collective for supper with eight people ,78,5.9418406,2.4304957
"I want to eat a a brasserie that serves muffuletta, where can I get a reservation?",82,5.506307,2.153321
"Book a table for six at The Cherry Street Tavern for January sixteenth, 2024",76,3.8213131,3.2181716
get me a reservation at a brasserie that serves jain in Pinto,61,5.8901086,2.2518044
Find a table at a joint with northern brazilian food in GA,58,4.760877,2.1133292
Book an outdoor restaurant.,27,4.7133865,3.3646297
I'd like to eat at the best southeastern brazilian restaurant with five people,78,5.0799804,2.0303202
table for 1 please,18,4.4857354,2.1496956
Book a restaurant in Geddes on march the twenty-seventh for me and my husband,77,4.3252134,2.9462535
I need a top-rated pub in Friona,32,4.6253467,2.533699
I would like reservations for Cliff House in seven months for six people.,73,5.77566,2.6386583
Reserve a table at a top-rated restaurant for dinner in twelve hours .,70,4.9139085,2.1640673
BOok a table for me and georgina at a pub in a spa,50,4.091219,3.265416
table for 6 at a bar,20,4.619544,2.2399926
I want to book a pizza restaurant close to Astor Place for nine at 3 am,71,4.591943,3.0737236
I need reservations at a restaurant at 20 o'clock in FM,55,5.6198583,2.4568226
I need a reservation for a joint in AZ for 3,44,6.1334524,2.3295908
book a spot for my kids and I at a restaurant with frybread,59,4.3888855,2.8601377
Need to book a restaurant in PA in the city of Old Orchard Beach,64,4.4143524,3.2010372
Find a reservation in Deweese for my sister and I,49,5.9597006,2.4325798
I'd like a restaurant on 6/1/2027 for 5 people in Iowa City,59,5.213997,2.1768026
book a table near Bienville for Pioneer Day,43,3.8742175,3.0551798
I need a table at the close restaurant for my niece and I  at the Brooklyn Bridge-City Hall.,92,4.4240475,2.276547
book a restaurant for 7 in MN,29,4.9355054,3.6711357
"I'd like to book a brasserie in Virginia City, GA.",50,3.109703,3.1804483
book a spot at a restaurant within walking distance of Palau,60,4.6357903,3.2313387
I would like reservations for Giodi's in Piper AZ.,50,5.4882717,2.3005927
Book me a table for a party of eight in Germany.,48,3.7552023,3.2750692
book a table for me and savannah in Lauderdale Lakes,52,3.4954383,2.9983077
Book a highly rated fast food restaurant in Falmouth.,53,4.807507,2.8886755
book a spot for two at a churrascaria that sells cupcake in Lumpkin Indiana now,79,4.348005,2.8566897
Book me seats for 6 at the best brasserie that serves marche neighboring my hostel,82,3.211152,3.0883384
Book reservations at a north indian bar for 4 people,52,5.624967,3.0883887
book me a restaurant that is close for four people in Enid,58,4.8461623,3.4478002
book a restaurant in Montverde in Marshall Islands,50,4.7498736,2.925235
Get me a table for 5 at a restaurant which serves south tyrolean.,65,4.732451,2.3549883
Make me a reservation in Colorado at nine am at National Cash Register Building,79,6.052501,2.3817365
Book me a restaurant in Cyprus at a pub,39,4.68871,3.4939065
Book the Last Exit on Brooklyn 5 hours from now for one person.,63,3.5544689,2.805665
I'd like to eat at the Original Spanish Kitchen in North Carolina,65,5.243726,2.0348473
"Book the best cafe on Jan. 18th, 2035.",38,4.139052,2.9961371
I need a table for 4 in Pelland,31,4.094223,2.4565427
I want to book a tea house for 4 that serves madeleine,54,3.6041782,2.820862
Book The Electric Banana in Ewen for crystal and brittney.,58,3.3957477,2.9799707
I want a table for five at a restaurant with latin food in Arkansas for 1 hour from now,87,4.752029,2.095487
"book a table for 10 at The Dome, Edinburgh",42,3.6471555,3.1953008
"Coon Chicken Inn restaurant for 1 am for me, clarice and debbie",63,4.8074584,2.3808692
book a table for seven during our Thailand trip that is within walking distance of our hotel.,93,4.333652,3.0140047
Please book a restaurant for nine members on august 25 in DC,60,4.8374653,3.5243447
Book a restaurant at sixteen o'clock in SC,42,4.8604,3.2256312
book a pub for helen and miriam in nine years from now,54,3.7092748,3.0174546
I need a reservation for Cashel Palace Hotel in California for a party of 9,75,5.9523273,2.4362803
I'd like to eat with a party of 8 in Hitchita OR,48,4.96295,1.8509976
book a table for my step father and I,37,3.9580562,2.8140972
I'd like a table for 6 at a restaurant in Denmark at 22,55,4.836506,2.1903708
book a bistro for 4 at sunset,29,3.6593254,2.8234613
I need a reservation at The One Eighty for elsa and wendy in Muscle Shoals.,75,5.7682247,2.386108
book a brasserie for one,24,3.0082276,3.2184136
"I would like to book at a pub on mar. 8, 2020 that is close to Broadway-Lafayette St for my daughters and I.",108,3.5101955,2.6672158
"I need a top-rated gastropub for 5 in DC in Conshohocken on Jul. the 18th, 2024",79,3.0541728,2.312459
book a table in Fleetwood at a nearby deli,42,3.306995,3.1041808
book in Southern Shores for 8 at Ariston Cafe,45,4.0541563,2.921016
Book a table at the WWE The World in South Korea.,49,3.8576398,3.1838906
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.,70,3.847516,2.915326
Book a reservation for eight people in North Dakota,51,5.8027234,3.082399
book for 3 in U.S. Virgin Islands,33,3.13872,3.3332171
"hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024",87,4.096724,2.7193058
"book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan",72,4.339041,3.1164904
"I want to bring antoinette, christine and caitlin to get bread at a restaurant in faraway Connecticut",101,4.738359,1.9850069
Book the tea house on North River,33,3.5662677,2.8288612
I want to eat at a food truck this week with my colleague and I,63,5.788132,3.7123213
I need a table for 9,20,4.421022,2.099033
Book a table for 10 people on bunker hill day at a food court which serves spatzle in Monaco,92,4.4380803,2.6431496
Book a reservation for restaurant in Texas,42,5.9443545,3.0202875
I want a table for four at a place in California,48,4.4529705,2.1833875
book a spot for 3 at the pizza place,36,4.691251,3.1660948
book a spot for 6 at a tea house in Tokelau,43,3.495109,2.9084923
"Book a restaurant with a pool with alta, deborah and bertha in IA.",66,4.3012376,2.9563265
Book a restaurant for one in AL.,32,4.685963,3.5152888
Book a table for 2 at the Seward Community Cafe within the same area in Shabbona,80,4.2842336,3.0721796
Book a table at a bar in Cambodia that serves cheese fries.,59,4.5735464,2.9664366
I want a table for 4 in Florida,31,4.456794,2.1236234
book a carolina style restaurant in North Korea for my grandkid and I,69,4.189538,3.036074
book a table at a top-rated brasserie in Pakistan,49,3.1878955,3.0496867
I want to book a restaurant for 6 on january third within walking distance of Northvale,87,4.295312,2.9958003
I would like to book the best southeastern brazilian food court ,64,4.8870096,2.345834
Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,98,5.733086,2.985156
I need a party of 4 to get a table reserved at a pub with southeastern cuisine.,79,4.858317,2.1618383
book at Beardslee Castle in Fairview Lanes for fifteen o'clock,62,3.627245,2.9197333
I need a reservation for the smoking room at a fast food place for 8 people,75,5.5298176,2.515704
book me a restaurant in the Northern Mariana Islands,52,4.280452,2.9229357
book a food truck in Nisswa for 4 at 5 pm,41,5.813318,3.7746253
I want to book the Clarke Cooke House in Uzbekistan,51,3.9577653,2.7691839
party of four somewhere in SD,29,5.4035873,1.9475795
Find me a coffeehouse for nine in Indiana that has access to a pool,67,4.218569,2.3020146
I want to book an indonesian food truck.,40,5.7709975,3.7544088
I'd like to eat souvlaki fast food with a party of two,54,4.947955,2.0915563
I need a table for 5 at a brasserie that has a reuben sandwich,62,4.1599226,2.0484748
Book a reservation for three at a top-rated sicilian restaurant in Portugal,75,5.865383,2.921217
book a restaurant for 2 that has internet,41,4.6970005,3.490867
Get me a table for 3 within walking distance from my hotel in Tajikistan.,73,4.4662967,2.8290203
I'm looking for a churrascaria place with wifi that can serve a party of five.,78,4.6180463,1.9006821
book John Pearson Soda Works restaurant on 7/27/2036,52,4.374176,3.1732137
"I need a table at a restaurant serving carne pizzaiola for tamra davis, viola and dorothea",90,4.51275,2.5014048
"I need a reservation for Arcadian Court on June the fifth, 2035",63,5.9968133,2.45578
John Ross House restaurant in town and close-by,47,4.2701197,2.6584542
make a reservation at a bakery that has acquacotta in Central African Republic for five ,88,5.848747,2.3701515
Book me a table for 8 at a restaurant for seven pm,50,4.618234,3.3419378
Book me a table at a hungarian delicatessen in North Dakota.,60,3.766317,2.9091244
"Reserve a spot at indoor restaurant on june the 15th, 3 guests",62,5.0588813,2.1675382
Book a popular brasserie in Roads End,37,2.975517,3.2399817
I need reservations for next autumn in Belgium at a highly rated diner.,71,5.611423,2.3202257
Find a table for two in a place not far in Culdesac,51,4.609679,2.1579134
Please make reservations for 4 for the hog fry from the food truck,66,5.8152986,3.6920354
book a spot for one at The Wolseley at elevenses,48,3.2343693,3.3709571
"I need a table for me, violet and maude at a restaurant in NE ",62,4.602799,2.1950629
I want to eat at a indoor bar for two,37,4.8201413,2.1880636
Can you reserve a table within the same area as the AMerican Samoa for me and my mom,84,4.4416723,2.3496354
Let me get reservations for a party of three at a bar with a pool.,66,5.883994,2.3805797
Set me up with a table at a bar with salade for 5,49,4.9011855,1.9810557
I want seats for 4 at a Sichuan Food restaurant in Indonesia,60,5.619898,2.396486
Can you get me seating at a pub in South Korea that serves milk toast for supper,80,4.9083524,2.1780303
Take me a top-rated restaurant for nine close to Westfield Delaware,67,5.1840973,2.1473517
"Book a restaurant that serves meze in Roseville FL with meredith, louisa and corrine.",85,3.9878805,2.6261253
I want to book the best manadonese restaurant for six at 21:49 that is distant from my baby's work ,99,3.95816,2.719908
book a taverna for me and jami,30,3.9351146,3.6119604
I want to find a salami restaurant in Bastian IN,48,4.965496,2.1216621
Book a reservation for seven people at Fraser Mansion in IL,59,5.700897,3.1381714
"I need a restaurant booking for 2 people this month at a indian place in Climax Springs, New Mexico.",100,5.5947285,2.3184679
Please book a room in The River Cafe restaurant  to accommodate eight members in Andorra,88,4.47992,3.0150776
I want seating for five near the pool at the pub,48,5.520863,2.4409804
Book a reservation for a party of six in the same area  as Metropolitan Borough of Bethnal Green,96,5.840683,2.954275
Book me a reservation for an outdoor restaurant,47,5.901836,2.9823978
book me a top-rated pub,23,4.231571,3.376877
melba and I want to dine in Barbados next Jun.,46,4.21172,2.6258893
I need to book a restaurant for eight nearby Limerick one year from now that serves jerky ,90,4.296345,2.9951332
I need a table for six near the Russia bistro that has wifi,59,4.8336487,2.2615528
"at two am, I need reservations for my friends and I at Irma Hotel.",66,5.6784368,2.4578698
I need to reserve a seat for one in SD at a brasserie restaurant.  ,67,5.3775277,2.2225485
Book COVA in Frisco City for me and therese at eight pm,55,3.854203,2.876162
"I want to find a highly rated delicatessen in Childersburg, DE for one next February",84,3.8723183,2.5361402
Book a reservation for my great grandfather and I at a macaroni pub in CT,73,5.519373,3.1425247
"Can I get a restaurant reserved in Luquillo, District Of Columbia?",66,5.1767583,2.1428041
i need a table at a close by restaurnt in Hackney for ten,57,4.373546,2.4514043
Book a table for three at a middle eastern gastropub,52,3.44165,2.5186355
I'd like to eat at The Firehouse Restaurant,43,5.1235323,1.9203525
I'd like to eat at a popular diner,34,5.152109,1.8675735
Make me a reservation for july the tenth at The Nosh Bar for a party of two,75,5.9927754,2.4135199
I need to book a restaurant that has wifi far from TX for me and my parents,75,4.5878515,3.4605582
Book a restaurant in San Juan Capistrano for 6 people at ten am,63,4.8518076,3.4754384
need to book a table in Ludden,30,3.546791,3.101153
Book reservation at a restaurant in Rocky Fork for 2 people,59,5.832153,2.9877176
I would like a cafeteria at 10:41:51 am for seven,49,5.114407,2.4395185
book a restaurant in Lake Fenton for four ,42,4.4390173,3.266754
book a spot for 3 at a bar in Antarctica,40,3.6789687,3.1848931
I'd like to eat at a highly rated pub with 6 people,51,5.1589603,2.1534977
What is the best restaurant in Kentucky for ten at 0 am,55,5.1597643,1.963937
book for 10 in a restaurant,27,4.9060426,3.6236053
I want a table for eight at GU,30,4.3917613,2.4933102
Book a brasserie type restaurant that serves pizzas in AMerican Samoa,69,4.668925,2.9119542
"I'm craving mac and cheese. Book a table at a Portland Mills, KS restaurant. I need it for one second from now",110,4.2584577,2.5354617
Book a table for 2 at a nearby restaurant.,42,4.4577475,3.328191
"I need a reservation for claudine, kelsey and shelley at a restaurant in Palestine.",83,5.846078,2.452379
"Need to book a restaurnt for a party of nine on Thomas Jefferson's Birthday
",76,3.494466,3.065539
